###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./metadata_2024-08-23-11h-51m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFIMCNZO7D/@@download/4DNFIMCNZO7D.fastq.gz	4DNES4OMQCRI	4DNEXMYOLF1L	4DNFIMCNZO7D	2184.91	51c3c8c85bd16c560af783c7e6a7b420	reads	fastq	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 1, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	raw file	4DN	Andrew Belmont, ILLINOIS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b1076136-440c-4af3-a957-f56cf8cbc39a/4DNFIMCNZO7D.fastq.gz
https://data.4dnucleome.org/files-processed/4DNFI1WULK53/@@download/4DNFI1WULK53.bw	4DNES4OMQCRI	4DNEXMYOLF1L	4DNFI1WULK53	1.07	fa5ae893496a10732f7a88d87aff3b97	normalized counts	bw	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 1, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	processed file	4DN	Andrew Belmont, ILLINOIS	Andrew Belmont, ILLINOIS	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7d20a8c0-1998-41f7-86cd-c9478998ace7/4DNFI1WULK53.bw
https://data.4dnucleome.org/files-processed/4DNFIGCHG3AQ/@@download/4DNFIGCHG3AQ.bam	4DNES4OMQCRI	4DNEXMYOLF1L	4DNFIGCHG3AQ	1956.35	d27156d490e1ad2ba6f59ddf9af6c055	alignments	bam	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 1, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	Repli-Seq Pipeline - Preliminary Files	4DN	4DN DCIC, HMS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/75d21bf9-a63d-49d3-b559-eb110ebed40a/4DNFIGCHG3AQ.bam
https://data.4dnucleome.org/files-processed/4DNFIND8EPQ4/@@download/4DNFIND8EPQ4.bedGraph.gz	4DNES4OMQCRI	4DNEXMYOLF1L	4DNFIND8EPQ4	0.83	2607d3f4f7ca727dcde619edced56b81	normalized counts	bg	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 1, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	Repli-Seq Pipeline - Preliminary Files	4DN	4DN DCIC, HMS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/022771e1-8b01-441c-80c7-3f95b4b4076a/4DNFIND8EPQ4.bedGraph.gz
https://data.4dnucleome.org/files-fastq/4DNFIRQHKYIY/@@download/4DNFIRQHKYIY.fastq.gz	4DNES4OMQCRI	4DNEXHE9RB4O	4DNFIRQHKYIY	1681.46	a1054d7669d98e14d708fc43b6fa946e	reads	fastq	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 2, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	raw file	4DN	Andrew Belmont, ILLINOIS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/af43dcfc-3afa-4167-9496-54108d0440bf/4DNFIRQHKYIY.fastq.gz
https://data.4dnucleome.org/files-processed/4DNFIBMQ3J6F/@@download/4DNFIBMQ3J6F.bw	4DNES4OMQCRI	4DNEXHE9RB4O	4DNFIBMQ3J6F	1.06	15e404c567f7c6af81ace39468c1f6be	normalized counts	bw	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 2, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	processed file	4DN	Andrew Belmont, ILLINOIS	Andrew Belmont, ILLINOIS	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a9160ba5-e7a6-46af-b1f9-d908a0338ebe/4DNFIBMQ3J6F.bw
https://data.4dnucleome.org/files-processed/4DNFIAQEIERO/@@download/4DNFIAQEIERO.bam	4DNES4OMQCRI	4DNEXHE9RB4O	4DNFIAQEIERO	1537.90	d1197f1af9ef751d6358da9b00d0d66d	alignments	bam	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 2, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	Repli-Seq Pipeline - Preliminary Files	4DN	4DN DCIC, HMS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d6fdf974-ffbd-475d-aaf8-2eaf1f481af6/4DNFIAQEIERO.bam
https://data.4dnucleome.org/files-processed/4DNFIO4NJH4K/@@download/4DNFIO4NJH4K.bedGraph.gz	4DNES4OMQCRI	4DNEXHE9RB4O	4DNFIO4NJH4K	0.81	67e116ad0bd3102cf722512dcfab4319	normalized counts	bg	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 2, Techrep 1	POLR1E protein	K562 (Tier 2)	TSA-seq POL1RE in k562 cells	condition2 - conditionE - anti-POL1RE	Repli-Seq Pipeline - Preliminary Files	4DN	4DN DCIC, HMS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d1afb429-bd0e-4dfb-9185-d3549cbb53ab/4DNFIO4NJH4K.bedGraph.gz
https://data.4dnucleome.org/files-fastq/4DNFI4CRQONH/@@download/4DNFI4CRQONH.fastq.gz	4DNES7XKUUG1	4DNEXWHEE1AN	4DNFI4CRQONH	1661.90	79f026a43bc052dbbd02b6e66fbd9365	reads	fastq	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 1, Techrep 1	POLR1E protein	HCT116 (Tier 2)	TSA-seq POL1RE in HCT116 cells	input - condition2 - conditionC or conditionE-  anti-POL1RE	raw file	4DN	Andrew Belmont, ILLINOIS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/c4b8a850-8298-4033-9825-61c7b034559a/4DNFI4CRQONH.fastq.gz
https://data.4dnucleome.org/files-processed/4DNFI5XCL4VY/@@download/4DNFI5XCL4VY.bam	4DNES7XKUUG1	4DNEXWHEE1AN	4DNFI5XCL4VY	1738.25	39f9d2670742fdbe00191dc056bf5cf8	alignments	bam	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Kumar P et al. (2023)	TSA-seq	Biorep 1, Techrep 1	POLR1E protein	HCT116 (Tier 2)	TSA-seq POL1RE in HCT116 cells	input - condition2 - conditionC or conditionE-  anti-POL1RE	Repli-Seq Pipeline - Preliminary Files	4DN	4DN DCIC, HMS	Andrew Belmont, ILLINOIS	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/bfdf6237-be48-40ce-87d8-2262b0eb1c5a/4DNFI5XCL4VY.bam
