###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./metadata_2024-02-27-16h-17m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFIJIBLGAV/@@download/4DNFIJIBLGAV.fastq.gz	4DNES24XA7U8	4DNEX7IU6V9M	4DNFIJIBLGAV	352.51	5ba2c8622e2d8d72d7a5a4a0fcdeadfe	reads	fastq	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	raw file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/a7836cc9-06ea-4f6e-8295-581b05504bb5/4DNFIJIBLGAV.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIM2ICJ7D/@@download/4DNFIM2ICJ7D.fastq.gz	4DNES24XA7U8	4DNEX7IU6V9M	4DNFIM2ICJ7D	1844.45	ca4b74c11df37778b5bce5978f4fd037	reads	fastq	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	raw file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/401f8108-006d-4592-8a5e-427b08071815/4DNFIM2ICJ7D.fastq.gz
https://data.4dnucleome.org/files-processed/4DNFI2BGIZ5F/@@download/4DNFI2BGIZ5F.bed.gz	4DNES24XA7U8	4DNEX7IU6V9M	4DNFI2BGIZ5F	0.01	b91a816818823f4a43cec0a49e5462c6	LADs	bed	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	processed file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b0895ca7-061b-4105-b847-0ffb794098b6/4DNFI2BGIZ5F.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIE5PWKYY/@@download/4DNFIE5PWKYY.bw	4DNES24XA7U8	4DNEX7IU6V9M	4DNFIE5PWKYY	5.21	25c893f75c45ebf49ee944ff6623c553	normalized counts	bw	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	processed file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a3dd5240-89fd-406c-aeba-0232f4d0cef6/4DNFIE5PWKYY.bw
https://data.4dnucleome.org/files-processed/4DNFIMFJN73W/@@download/4DNFIMFJN73W.bam	4DNES24XA7U8	4DNEX7IU6V9M	4DNFIMFJN73W	1140.97	3e8b9097fdf7f83795a3d950a0025fc9	alignments	bam	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	processed file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9ef83cee-b5cd-4654-8809-719aa0b7463b/4DNFIMFJN73W.bam
https://data.4dnucleome.org/files-processed/4DNFIPQRES28/@@download/4DNFIPQRES28.bam	4DNES24XA7U8	4DNEX7IU6V9M	4DNFIPQRES28	257.45	cb3ba2253f3813ae25225148dfa88e8c	alignments	bam	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	processed file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4601e5ce-56cb-4990-bc11-8d686bfa84dc/4DNFIPQRES28.bam
https://data.4dnucleome.org/files-fastq/4DNFI5FS93PB/@@download/4DNFI5FS93PB.fastq.gz	4DNES24XA7U8	4DNEXMRJPX7X	4DNFI5FS93PB	320.65	88eeb23204ae27399dd54ac7662aab5a	reads	fastq	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	raw file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/feee6357-94a1-4088-8ba0-bb1d2b859066/4DNFI5FS93PB.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIHEJ2CYF/@@download/4DNFIHEJ2CYF.fastq.gz	4DNES24XA7U8	4DNEXMRJPX7X	4DNFIHEJ2CYF	1955.63	46ed26b7f33888fda3c52d0fd7c5bcf0	reads	fastq	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	raw file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/605bd391-e16c-459f-8dd5-2b6d969f8251/4DNFIHEJ2CYF.fastq.gz
https://data.4dnucleome.org/files-processed/4DNFI5UKA9RG/@@download/4DNFI5UKA9RG.bam	4DNES24XA7U8	4DNEXMRJPX7X	4DNFI5UKA9RG	233.05	47bd6063e7aae9ad01bd899c658ab5df	alignments	bam	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	processed file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/bc5d2049-69c1-44b5-859e-6a7749a36204/4DNFI5UKA9RG.bam
https://data.4dnucleome.org/files-processed/4DNFI6EFLSGS/@@download/4DNFI6EFLSGS.bw	4DNES24XA7U8	4DNEXMRJPX7X	4DNFI6EFLSGS	5.19	58541b8f279c80b5a5aa2e74367b394f	normalized counts	bw	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: b.v.steensel@nki.nl	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	processed file	4DN	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3244297d-781a-4e32-a7e6-06ef09b1cdca/4DNFI6EFLSGS.bw
